config_bundle,config_record_id,config_sha256,machine,method,model,run_name,source_path,task
artifacts/configs/machine_a_deepseekcoder13b_e1__vul_line__full/config.json,machine_a_deepseekcoder13b_e1_vul_line_full,497bec7d77aeb15e76d098b543c55cd8ca245fcf519f1f0b7bf79cc2f1047228,compute_node_a,full,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__vul_line__full,artifacts/configs/machine_a_deepseekcoder13b_e1__vul_line__full/config.json,vul_line
artifacts/configs/machine_a_deepseekcoder13b_e1__vul_line__prompt/config.json,machine_a_deepseekcoder13b_e1_vul_line_prompt,c56ed579b16ca4eaed6ef08f4516dc50fb3406b218ac56ced9471f212e6025ed,compute_node_a,prompt,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__vul_line__prompt,artifacts/configs/machine_a_deepseekcoder13b_e1__vul_line__prompt/config.json,vul_line
artifacts/configs/machine_a_deepseekcoder13b_e1__vul_line__qlora/config.json,machine_a_deepseekcoder13b_e1_vul_line_qlora,3dd46cf199aa05a9597d32a6611a63ede2ebd9e994a6576e3289b22c1e6b4383,compute_node_a,qlora,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__vul_line__qlora,artifacts/configs/machine_a_deepseekcoder13b_e1__vul_line__qlora/config.json,vul_line
artifacts/configs/machine_a_deepseekcoder13b_e1__vul_type__direct/config.json,machine_a_deepseekcoder13b_e1_vul_type_direct,a18a089b63a973a9fe116a9db57c16e5eb6e885ac43970223464edd2580535f4,compute_node_a,direct,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__vul_type__direct,artifacts/configs/machine_a_deepseekcoder13b_e1__vul_type__direct/config.json,vul_type
artifacts/configs/machine_a_deepseekcoder13b_e1__vul_type__full/config.json,machine_a_deepseekcoder13b_e1_vul_type_full,4a4d8b96ea519b02ed9587f3e66227fd9095f8de33a734a94db40daf069d434d,compute_node_a,full,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__vul_type__full,artifacts/configs/machine_a_deepseekcoder13b_e1__vul_type__full/config.json,vul_type
artifacts/configs/machine_a_deepseekcoder13b_e1__vul_type__prompt/config.json,machine_a_deepseekcoder13b_e1_vul_type_prompt,8a39a4ffe76c27fdfc7137474a49d26892576b46b9477dcfd49cde372ecf7a9f,compute_node_a,prompt,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__vul_type__prompt,artifacts/configs/machine_a_deepseekcoder13b_e1__vul_type__prompt/config.json,vul_type
artifacts/configs/machine_a_deepseekcoder13b_e1__vul_type__qlora/config.json,machine_a_deepseekcoder13b_e1_vul_type_qlora,1d3c9af752a039c3eb9b794496177b5bc9fb83ad2645fd169210c61bccb7360b,compute_node_a,qlora,deepseek-ai/deepseek-coder-1.3b-base,machine_a_deepseekcoder13b_e1__vul_type__qlora,artifacts/configs/machine_a_deepseekcoder13b_e1__vul_type__qlora/config.json,vul_type
artifacts/configs/remote_deepseekcoder33b_e1__has_vul__direct/config.json,remote_deepseekcoder33b_e1_has_vul_direct,79e231310f26c6a4e8fb01cdedf4e12ba30bebcb209f541bab7420fc879e4a38,compute_node_c,direct,deepseek-ai/deepseek-coder-33b-base,remote_deepseekcoder33b_e1__has_vul__direct,artifacts/configs/remote_deepseekcoder33b_e1__has_vul__direct/config.json,has_vul
artifacts/configs/remote_deepseekcoder33b_e1__has_vul__qlora/config.json,remote_deepseekcoder33b_e1_has_vul_qlora,a70fdd4aaae62f2db72cfca0a3b23d185de710eee53041604a235676057fdee3,compute_node_c,qlora,deepseek-ai/deepseek-coder-33b-base,remote_deepseekcoder33b_e1__has_vul__qlora,artifacts/configs/remote_deepseekcoder33b_e1__has_vul__qlora/config.json,has_vul
artifacts/configs/remote_deepseekcoder33b_e1__vul_line__direct/config.json,remote_deepseekcoder33b_e1_vul_line_direct,7c6b699de17c7cbdbb3c5071e7850a83c144ccefa9f5cd031f42b3f13e84b006,compute_node_c,direct,deepseek-ai/deepseek-coder-33b-base,remote_deepseekcoder33b_e1__vul_line__direct,artifacts/configs/remote_deepseekcoder33b_e1__vul_line__direct/config.json,vul_line
